day,day_of_week,date,page_loads,unique_visits,first_time_visits,returning_visits
Saturday,7,2018-07-21,1664,1177,942,235
Sunday,1,2018-07-22,2248,1561,1246,315
Monday,2,2018-07-23,4062,2658,2081,577
Tuesday,3,2018-07-24,4053,2680,2091,589
Wednesday,4,2018-07-25,3628,2431,1879,552
Thursday,5,2018-07-26,3596,2415,1925,490
Friday,6,2018-07-27,3140,2002,1539,463
Saturday,7,2018-07-28,1938,1304,1054,250
Sunday,1,2018-07-29,2460,1699,1364,335
Monday,2,2018-07-30,4175,2771,2166,605
Tuesday,3,2018-07-31,4113,2881,2310,571
Wednesday,4,2018-08-01,4273,2901,2310,591
Thursday,5,2018-08-02,4194,2754,2202,552
Friday,6,2018-08-03,3405,2345,1833,512
Saturday,7,2018-08-04,1800,1251,1025,226
Sunday,1,2018-08-05,2378,1694,1388,306
Monday,2,2018-08-06,4319,2856,2233,623
Tuesday,3,2018-08-07,4388,2971,2375,596
Wednesday,4,2018-08-08,4205,2724,2118,606
Thursday,5,2018-08-09,3973,2555,1998,557
Friday,6,2018-08-10,3510,2224,1777,447
Saturday,7,2018-08-11,1913,1281,1012,269
Sunday,1,2018-08-12,2397,1644,1284,360
Monday,2,2018-08-13,4348,2789,2224,565
Tuesday,3,2018-08-14,3966,2688,2127,561
Wednesday,4,2018-08-15,3805,2544,2035,509
Thursday,5,2018-08-16,3866,2604,2074,530
Friday,6,2018-08-17,3489,2219,1737,482
Saturday,7,2018-08-18,2074,1394,1108,286
Sunday,1,2018-08-19,2519,1687,1318,369
Monday,2,2018-08-20,4202,2734,2128,606
Tuesday,3,2018-08-21,4023,2711,2147,564
Wednesday,4,2018-08-22,4048,2685,2121,564
Thursday,5,2018-08-23,4150,2860,2249,611
Friday,6,2018-08-24,3154,2199,1742,457
Saturday,7,2018-08-25,2143,1317,1012,305
Sunday,1,2018-08-26,2576,1705,1372,333
Monday,2,2018-08-27,4317,2954,2367,587
Tuesday,3,2018-08-28,4421,3023,2427,596
Wednesday,4,2018-08-29,4563,3019,2395,624
Thursday,5,2018-08-30,4055,2798,2265,533
Friday,6,2018-08-31,3427,2305,1815,490
Saturday,7,2018-09-01,1731,1241,989,252
Sunday,1,2018-09-02,2258,1641,1293,348
Monday,2,2018-09-03,3655,2499,2032,467
Tuesday,3,2018-09-04,4456,2995,2435,560
Wednesday,4,2018-09-05,4566,3042,2456,586
Thursday,5,2018-09-06,4314,3049,2508,541
Friday,6,2018-09-07,3557,2349,1890,459
Saturday,7,2018-09-08,2281,1548,1255,293
Sunday,1,2018-09-09,3346,2255,1906,349
Monday,2,2018-09-10,4711,3200,2600,600
Tuesday,3,2018-09-11,4709,3134,2595,539
Wednesday,4,2018-09-12,4379,3032,2464,568
Thursday,5,2018-09-13,4357,2870,2325,545
Friday,6,2018-09-14,3560,2396,1907,489
Saturday,7,2018-09-15,2049,1488,1244,244
Sunday,1,2018-09-16,2813,1934,1614,320
Monday,2,2018-09-17,5064,3241,2621,620
Tuesday,3,2018-09-18,5006,3221,2595,626
Wednesday,4,2018-09-19,4949,3282,2708,574
Thursday,5,2018-09-20,4695,3165,2573,592
Friday,6,2018-09-21,3516,2383,1933,450
Saturday,7,2018-09-22,2460,1704,1374,330
Sunday,1,2018-09-23,2994,2127,1733,394
Monday,2,2018-09-24,4688,3273,2679,594
Tuesday,3,2018-09-25,4924,3481,2885,596
Wednesday,4,2018-09-26,5209,3546,2936,610
Thursday,5,2018-09-27,5966,4029,3385,644
Friday,6,2018-09-28,4740,3171,2643,528
Saturday,7,2018-09-29,2715,1870,1618,252
Sunday,1,2018-09-30,3739,2573,2194,379
Monday,2,2018-10-01,5841,3982,3331,651
Tuesday,3,2018-10-02,5881,4096,3514,582
Wednesday,4,2018-10-03,5540,3863,3249,614
Thursday,5,2018-10-04,5636,3894,3306,588
Friday,6,2018-10-05,4479,3120,2638,482
Saturday,7,2018-10-06,3076,2094,1750,344
Sunday,1,2018-10-07,3973,2865,2457,408
Monday,2,2018-10-08,6045,4310,3659,651
Tuesday,3,2018-10-09,6126,4173,3522,651
Wednesday,4,2018-10-10,6084,4319,3616,703
Thursday,5,2018-10-11,6154,4254,3632,622
Friday,6,2018-10-12,4868,3385,2784,601
Saturday,7,2018-10-13,3409,2379,2006,373
Sunday,1,2018-10-14,4722,3357,2859,498
Monday,2,2018-10-15,6555,4550,3766,784
Tuesday,3,2018-10-16,7079,4652,3893,759
Wednesday,4,2018-10-17,6691,4673,3893,780
Thursday,5,2018-10-18,6522,4398,3666,732
Friday,6,2018-10-19,4922,3390,2857,533
Saturday,7,2018-10-20,3409,2399,1990,409
Sunday,1,2018-10-21,4483,3092,2623,469
Monday,2,2018-10-22,6666,4499,3769,730
Tuesday,3,2018-10-23,6991,4677,3916,761
Wednesday,4,2018-10-24,6871,4619,3808,811
Thursday,5,2018-10-25,6357,4331,3579,752
Friday,6,2018-10-26,5114,3468,2827,641
Saturday,7,2018-10-27,3456,2400,2006,394
Sunday,1,2018-10-28,4924,3251,2735,516
Monday,2,2018-10-29,6837,4704,3890,814
Tuesday,3,2018-10-30,6481,4547,3798,749
Wednesday,4,2018-10-31,6296,4316,3545,771
Thursday,5,2018-11-01,6044,3988,3299,689
Friday,6,2018-11-02,4860,3326,2738,588
Saturday,7,2018-11-03,3430,2289,1946,343
Sunday,1,2018-11-04,4638,3236,2744,492
Monday,2,2018-11-05,6365,4329,3609,720
Tuesday,3,2018-11-06,6330,4291,3556,735
Wednesday,4,2018-11-07,5865,3937,3267,670
Thursday,5,2018-11-08,5692,3938,3298,640
Friday,6,2018-11-09,5026,3533,2917,616
Saturday,7,2018-11-10,3506,2428,2018,410
Sunday,1,2018-11-11,4778,3265,2709,556
Monday,2,2018-11-12,6684,4592,3795,797
Tuesday,3,2018-11-13,6766,4720,3918,802
Wednesday,4,2018-11-14,6916,4674,3872,802
Thursday,5,2018-11-15,6440,4379,3634,745
Friday,6,2018-11-16,5066,3497,2863,634
Saturday,7,2018-11-17,3503,2489,2043,446
Sunday,1,2018-11-18,4855,3321,2691,630
Monday,2,2018-11-19,6818,4601,3795,806
Tuesday,3,2018-11-20,6239,4424,3640,784
Wednesday,4,2018-11-21,5471,3904,3194,710
Thursday,5,2018-11-22,4453,3186,2592,594
Friday,6,2018-11-23,4062,2892,2347,545
Saturday,7,2018-11-24,3485,2445,1987,458
Sunday,1,2018-11-25,4906,3371,2815,556
Monday,2,2018-11-26,7099,4871,4012,859
Tuesday,3,2018-11-27,7503,5181,4267,914
Wednesday,4,2018-11-28,7554,5227,4330,897
Thursday,5,2018-11-29,7169,4944,4106,838
Friday,6,2018-11-30,5608,3895,3211,684
Saturday,7,2018-12-01,4055,2800,2306,494
Sunday,1,2018-12-02,5611,3906,3259,647
Monday,2,2018-12-03,7650,5378,4431,947
Tuesday,3,2018-12-04,7372,5225,4328,897
Wednesday,4,2018-12-05,7369,5166,4316,850
Thursday,5,2018-12-06,7250,5093,4213,880
Friday,6,2018-12-07,5735,4032,3296,736
Saturday,7,2018-12-08,4614,3240,2699,541
Sunday,1,2018-12-09,5979,4062,3352,710
Monday,2,2018-12-10,7840,5421,4465,956
Tuesday,3,2018-12-11,7659,5267,4330,937
Wednesday,4,2018-12-12,7319,4983,4010,973
Thursday,5,2018-12-13,6373,4452,3620,832
Friday,6,2018-12-14,4897,3404,2776,628
Saturday,7,2018-12-15,3325,2209,1833,376
Sunday,1,2018-12-16,3874,2671,2206,465
Monday,2,2018-12-17,5436,3791,3062,729
Tuesday,3,2018-12-18,5174,3562,2945,617
Wednesday,4,2018-12-19,4873,3255,2632,623
Thursday,5,2018-12-20,3913,2716,2164,552
Friday,6,2018-12-21,2934,1979,1543,436
Saturday,7,2018-12-22,1523,1074,846,228
Sunday,1,2018-12-23,1859,1223,997,226
Monday,2,2018-12-24,1835,1310,1019,291
Tuesday,3,2018-12-25,1852,1214,955,259
Wednesday,4,2018-12-26,2357,1594,1243,351
Thursday,5,2018-12-27,2583,1783,1418,365
Friday,6,2018-12-28,2477,1613,1279,334
Saturday,7,2018-12-29,1694,1197,990,207
Sunday,1,2018-12-30,1985,1340,1097,243
Monday,2,2018-12-31,1723,1159,874,285
Tuesday,3,2019-01-01,1715,1168,891,277
Wednesday,4,2019-01-02,3431,2361,1899,462
Thursday,5,2019-01-03,4118,2793,2259,534
Friday,6,2019-01-04,3504,2373,1936,437
Saturday,7,2019-01-05,2308,1609,1348,261
Sunday,1,2019-01-06,2925,2046,1648,398
Monday,2,2019-01-07,4587,3100,2550,550
Tuesday,3,2019-01-08,4731,3182,2585,597
Wednesday,4,2019-01-09,4831,3245,2660,585
Thursday,5,2019-01-10,4162,2836,2298,538
Friday,6,2019-01-11,3726,2476,1999,477
Saturday,7,2019-01-12,2458,1722,1413,309
Sunday,1,2019-01-13,3266,2264,1878,386
Monday,2,2019-01-14,5016,3348,2760,588
Tuesday,3,2019-01-15,4732,3320,2738,582
Wednesday,4,2019-01-16,4938,3447,2845,602
Thursday,5,2019-01-17,5033,3516,2967,549
Friday,6,2019-01-18,4114,2731,2236,495
Saturday,7,2019-01-19,2780,1929,1599,330
Sunday,1,2019-01-20,4205,2367,1974,393
Monday,2,2019-01-21,4983,3391,2783,608
Tuesday,3,2019-01-22,5182,3674,3052,622
Wednesday,4,2019-01-23,5316,3856,3199,657
Thursday,5,2019-01-24,5021,3462,2853,609
Friday,6,2019-01-25,4230,2882,2382,500
Saturday,7,2019-01-26,2743,1882,1541,341
Sunday,1,2019-01-27,3890,2622,2232,390
Monday,2,2019-01-28,5575,3925,3232,693
Tuesday,3,2019-01-29,5732,3866,3260,606
Wednesday,4,2019-01-30,5402,3759,3134,625
Thursday,5,2019-01-31,5069,3597,2984,613
Friday,6,2019-02-01,4222,2923,2364,559
Saturday,7,2019-02-02,2864,1902,1596,306
Sunday,1,2019-02-03,3598,2447,2044,403
Monday,2,2019-02-04,5366,3767,3146,621
Tuesday,3,2019-02-05,5427,3757,3124,633
Wednesday,4,2019-02-06,5667,3759,3130,629
Thursday,5,2019-02-07,5517,3763,3069,694
Friday,6,2019-02-08,4420,2943,2429,514
Saturday,7,2019-02-09,3150,2274,1911,363
Sunday,1,2019-02-10,4264,2962,2470,492
Monday,2,2019-02-11,6569,4276,3566,710
Tuesday,3,2019-02-12,6145,4092,3391,701
Wednesday,4,2019-02-13,5743,3932,3236,696
Thursday,5,2019-02-14,5512,3762,3075,687
Friday,6,2019-02-15,4127,2952,2377,575
Saturday,7,2019-02-16,3309,2195,1809,386
Sunday,1,2019-02-17,3761,2669,2217,452
Monday,2,2019-02-18,5592,3912,3226,686
Tuesday,3,2019-02-19,6100,4322,3575,747
Wednesday,4,2019-02-20,6208,4265,3543,722
Thursday,5,2019-02-21,5730,4071,3352,719
Friday,6,2019-02-22,4372,3073,2508,565
Saturday,7,2019-02-23,3378,2259,1871,388
Sunday,1,2019-02-24,4367,3012,2524,488
Monday,2,2019-02-25,6318,4424,3678,746
Tuesday,3,2019-02-26,6431,4304,3530,774
Wednesday,4,2019-02-27,5919,4205,3442,763
Thursday,5,2019-02-28,5668,3966,3266,700
Friday,6,2019-03-01,4581,3178,2594,584
Saturday,7,2019-03-02,3383,2263,1878,385
Sunday,1,2019-03-03,4311,3005,2476,529
Monday,2,2019-03-04,6357,4214,3443,771
Tuesday,3,2019-03-05,6092,4092,3343,749
Wednesday,4,2019-03-06,5772,4070,3340,730
Thursday,5,2019-03-07,5861,4064,3330,734
Friday,6,2019-03-08,4600,3147,2590,557
Saturday,7,2019-03-09,3390,2218,1849,369
Sunday,1,2019-03-10,4099,2898,2397,501
Monday,2,2019-03-11,6240,4320,3599,721
Tuesday,3,2019-03-12,5871,4127,3375,752
Wednesday,4,2019-03-13,6381,4506,3726,780
Thursday,5,2019-03-14,5853,4043,3328,715
Friday,6,2019-03-15,4425,3116,2499,617
Saturday,7,2019-03-16,2961,2099,1685,414
Sunday,1,2019-03-17,4008,2744,2258,486
Monday,2,2019-03-18,5830,4040,3319,721
Tuesday,3,2019-03-19,6089,4164,3448,716
Wednesday,4,2019-03-20,5800,3946,3192,754
Thursday,5,2019-03-21,5431,3761,3100,661
Friday,6,2019-03-22,4560,3071,2543,528
Saturday,7,2019-03-23,3256,2254,1859,395
Sunday,1,2019-03-24,4156,2858,2386,472
Monday,2,2019-03-25,6060,4232,3469,763
Tuesday,3,2019-03-26,6191,4344,3578,766
Wednesday,4,2019-03-27,6678,4612,3842,770
Thursday,5,2019-03-28,6167,4086,3361,725
Friday,6,2019-03-29,4441,3147,2601,546
Saturday,7,2019-03-30,3243,2325,1949,376
Sunday,1,2019-03-31,4260,3039,2543,496
Monday,2,2019-04-01,6078,4238,3550,688
Tuesday,3,2019-04-02,6824,4656,3833,823
Wednesday,4,2019-04-03,6621,4727,3942,785
Thursday,5,2019-04-04,6231,4343,3647,696
Friday,6,2019-04-05,4776,3346,2719,627
Saturday,7,2019-04-06,3148,2319,1924,395
Sunday,1,2019-04-07,4357,3050,2511,539
Monday,2,2019-04-08,6794,4738,3960,778
Tuesday,3,2019-04-09,6688,4505,3736,769
Wednesday,4,2019-04-10,6570,4448,3646,802
Thursday,5,2019-04-11,6113,4264,3504,760
Friday,6,2019-04-12,4856,3336,2726,610
Saturday,7,2019-04-13,3401,2409,2011,398
Sunday,1,2019-04-14,4551,3197,2600,597
Monday,2,2019-04-15,6614,4773,3967,806
Tuesday,3,2019-04-16,7019,4837,4037,800
Wednesday,4,2019-04-17,6643,4470,3681,789
Thursday,5,2019-04-18,5398,3825,3133,692
Friday,6,2019-04-19,4323,2981,2482,499
Saturday,7,2019-04-20,3546,2442,2020,422
Sunday,1,2019-04-21,4312,3045,2534,511
Monday,2,2019-04-22,6363,4520,3729,791
Tuesday,3,2019-04-23,6797,4968,4147,821
Wednesday,4,2019-04-24,7144,5002,4136,866
Thursday,5,2019-04-25,6555,4621,3804,817
Friday,6,2019-04-26,5400,3780,3089,691
Saturday,7,2019-04-27,3710,2465,2038,427
Sunday,1,2019-04-28,4788,3294,2728,566
Monday,2,2019-04-29,6232,4340,3578,762
Tuesday,3,2019-04-30,6093,4264,3440,824
Wednesday,4,2019-05-01,6117,4275,3556,719
Thursday,5,2019-05-02,6274,4153,3433,720
Friday,6,2019-05-03,4774,3370,2763,607
Saturday,7,2019-05-04,3437,2462,1999,463
Sunday,1,2019-05-05,4330,3009,2457,552
Monday,2,2019-05-06,5902,4164,3402,762
Tuesday,3,2019-05-07,6064,4258,3469,789
Wednesday,4,2019-05-08,5709,4049,3310,739
Thursday,5,2019-05-09,5596,3944,3275,669
Friday,6,2019-05-10,4498,3144,2494,650
Saturday,7,2019-05-11,3258,2119,1702,417
Sunday,1,2019-05-12,3571,2565,2070,495
Monday,2,2019-05-13,5677,3908,3136,772
Tuesday,3,2019-05-14,5534,3669,2977,692
Wednesday,4,2019-05-15,5391,3667,2989,678
Thursday,5,2019-05-16,5043,3577,2953,624
Friday,6,2019-05-17,3993,2795,2254,541
Saturday,7,2019-05-18,2565,1876,1545,331
Sunday,1,2019-05-19,3369,2364,1954,410
Monday,2,2019-05-20,4993,3442,2806,636
Tuesday,3,2019-05-21,4728,3406,2813,593
Wednesday,4,2019-05-22,4963,3431,2772,659
Thursday,5,2019-05-23,4637,3243,2698,545
Friday,6,2019-05-24,3694,2559,2070,489
Saturday,7,2019-05-25,2460,1658,1347,311
Sunday,1,2019-05-26,3006,2064,1693,371
Monday,2,2019-05-27,3992,2780,2271,509
Tuesday,3,2019-05-28,4960,3403,2767,636
Wednesday,4,2019-05-29,4376,3115,2562,553
Thursday,5,2019-05-30,4143,2896,2353,543
Friday,6,2019-05-31,3359,2363,1909,454
Saturday,7,2019-06-01,2218,1474,1221,253
Sunday,1,2019-06-02,2768,1845,1516,329
Monday,2,2019-06-03,3967,2831,2295,536
Tuesday,3,2019-06-04,4501,3008,2426,582
Wednesday,4,2019-06-05,3973,2727,2233,494
Thursday,5,2019-06-06,4259,2871,2312,559
Friday,6,2019-06-07,3181,2313,1869,444
Saturday,7,2019-06-08,2170,1583,1324,259
Sunday,1,2019-06-09,2810,1930,1586,344
Monday,2,2019-06-10,4420,3030,2463,567
Tuesday,3,2019-06-11,4793,3258,2664,594
Wednesday,4,2019-06-12,4410,3064,2479,585
Thursday,5,2019-06-13,4076,2844,2280,564
Friday,6,2019-06-14,3287,2265,1789,476
Saturday,7,2019-06-15,2176,1467,1201,266
Sunday,1,2019-06-16,2516,1747,1419,328
Monday,2,2019-06-17,4142,2925,2398,527
Tuesday,3,2019-06-18,4225,3013,2461,552
Wednesday,4,2019-06-19,4162,2882,2351,531
Thursday,5,2019-06-20,3716,2615,2137,478
Friday,6,2019-06-21,3333,2275,1853,422
Saturday,7,2019-06-22,1918,1360,1118,242
Sunday,1,2019-06-23,2344,1621,1317,304
Monday,2,2019-06-24,3691,2591,2149,442
Tuesday,3,2019-06-25,4035,2770,2247,523
Wednesday,4,2019-06-26,3939,2675,2186,489
Thursday,5,2019-06-27,3738,2671,2197,474
Friday,6,2019-06-28,2846,2021,1657,364
Saturday,7,2019-06-29,1733,1199,983,216
Sunday,1,2019-06-30,2184,1494,1240,254
Monday,2,2019-07-01,3512,2485,2001,484
Tuesday,3,2019-07-02,3675,2636,2163,473
Wednesday,4,2019-07-03,3831,2579,2144,435
Thursday,5,2019-07-04,2801,1971,1648,323
Friday,6,2019-07-05,2552,1790,1446,344
Saturday,7,2019-07-06,1950,1291,1110,181
Sunday,1,2019-07-07,2110,1477,1209,268
Monday,2,2019-07-08,4303,2903,2383,520
Tuesday,3,2019-07-09,3883,2799,2335,464
Wednesday,4,2019-07-10,4244,2907,2347,560
Thursday,5,2019-07-11,3765,2669,2150,519
Friday,6,2019-07-12,3286,2276,1816,460
Saturday,7,2019-07-13,1851,1305,1063,242
Sunday,1,2019-07-14,2580,1754,1433,321
Monday,2,2019-07-15,4140,2911,2382,529
Tuesday,3,2019-07-16,4076,2785,2285,500
Wednesday,4,2019-07-17,4141,2900,2360,540
Thursday,5,2019-07-18,3898,2774,2249,525
Friday,6,2019-07-19,3027,2078,1641,437
Saturday,7,2019-07-20,1831,1271,1033,238
Sunday,1,2019-07-21,2282,1617,1356,261
Monday,2,2019-07-22,4138,2890,2376,514
Tuesday,3,2019-07-23,4049,2868,2344,524
Wednesday,4,2019-07-24,4272,2963,2359,604
Thursday,5,2019-07-25,4089,2755,2210,545
Friday,6,2019-07-26,3277,2264,1842,422
Saturday,7,2019-07-27,1954,1308,1069,239
Sunday,1,2019-07-28,2111,1509,1239,270
Monday,2,2019-07-29,3625,2539,2053,486
Tuesday,3,2019-07-30,4415,2906,2386,520
Wednesday,4,2019-07-31,3854,2743,2260,483
Thursday,5,2019-08-01,4114,2771,2262,509
Friday,6,2019-08-02,3492,2280,1874,406
Saturday,7,2019-08-03,1849,1312,1096,216
Sunday,1,2019-08-04,2239,1630,1347,283
Monday,2,2019-08-05,3976,2664,2191,473
Tuesday,3,2019-08-06,4061,2833,2284,549
Wednesday,4,2019-08-07,3702,2675,2215,460
Thursday,5,2019-08-08,3622,2553,2112,441
Friday,6,2019-08-09,3039,2033,1660,373
Saturday,7,2019-08-10,1848,1265,1049,216
Sunday,1,2019-08-11,2082,1502,1242,260
Monday,2,2019-08-12,3807,2574,2121,453
Tuesday,3,2019-08-13,3993,2667,2215,452
Wednesday,4,2019-08-14,3567,2517,2087,430
Thursday,5,2019-08-15,3484,2450,2046,404
Friday,6,2019-08-16,2994,2022,1663,359
Saturday,7,2019-08-17,1793,1276,1074,202
Sunday,1,2019-08-18,2422,1721,1477,244
Monday,2,2019-08-19,4070,2847,2371,476
Tuesday,3,2019-08-20,3987,2800,2293,507
Wednesday,4,2019-08-21,3355,2407,1963,444
Thursday,5,2019-08-22,2925,1959,1627,332
Friday,6,2019-08-23,3010,2143,1769,374
Saturday,7,2019-08-24,1896,1380,1151,229
Sunday,1,2019-08-25,2501,1791,1497,294
Monday,2,2019-08-26,3851,2714,2257,457
Tuesday,3,2019-08-27,4403,3075,2622,453
Wednesday,4,2019-08-28,4627,3125,2623,502
Thursday,5,2019-08-29,4221,2982,2477,505
Friday,6,2019-08-30,3025,2102,1727,375
Saturday,7,2019-08-31,1998,1386,1179,207
Sunday,1,2019-09-01,2297,1645,1414,231
Monday,2,2019-09-02,3192,2272,1910,362
Tuesday,3,2019-09-03,4087,2921,2434,487
Wednesday,4,2019-09-04,4787,3348,2842,506
Thursday,5,2019-09-05,4483,3078,2570,508
Friday,6,2019-09-06,3571,2483,2095,388
Saturday,7,2019-09-07,2263,1566,1343,223
Sunday,1,2019-09-08,2948,2118,1827,291
Monday,2,2019-09-09,4521,3287,2785,502
Tuesday,3,2019-09-10,4563,3251,2758,493
Wednesday,4,2019-09-11,4598,3365,2901,464
Thursday,5,2019-09-12,4603,3356,2868,488
Friday,6,2019-09-13,3349,2508,2121,387
Saturday,7,2019-09-14,2437,1716,1451,265
Sunday,1,2019-09-15,3188,2367,2082,285
Monday,2,2019-09-16,5291,3839,3280,559
Tuesday,3,2019-09-17,5477,3815,3273,542
Wednesday,4,2019-09-18,5257,3726,3222,504
Thursday,5,2019-09-19,5000,3500,3028,472
Friday,6,2019-09-20,3890,2822,2407,415
Saturday,7,2019-09-21,2654,1994,1739,255
Sunday,1,2019-09-22,3656,2640,2328,312
Monday,2,2019-09-23,5223,3804,3291,513
Tuesday,3,2019-09-24,5276,3826,3287,539
Wednesday,4,2019-09-25,5476,3838,3306,532
Thursday,5,2019-09-26,5196,3718,3208,510
Friday,6,2019-09-27,4052,2863,2448,415
Saturday,7,2019-09-28,2635,1945,1696,249
Sunday,1,2019-09-29,4076,2895,2541,354
Monday,2,2019-09-30,5167,3754,3216,538
Tuesday,3,2019-10-01,4972,3634,3082,552
Wednesday,4,2019-10-02,5143,3683,3209,474
Thursday,5,2019-10-03,4753,3454,2941,513
Friday,6,2019-10-04,3795,2854,2440,414
Saturday,7,2019-10-05,2920,2118,1827,291
Sunday,1,2019-10-06,3950,2850,2471,379
Monday,2,2019-10-07,5493,3929,3432,497
Tuesday,3,2019-10-08,5652,4186,3705,481
Wednesday,4,2019-10-09,5617,3936,3388,548
Thursday,5,2019-10-10,5234,3802,3261,541
Friday,6,2019-10-11,4118,3147,2674,473
Saturday,7,2019-10-12,2863,2111,1803,308
Sunday,1,2019-10-13,4032,3013,2645,368
Monday,2,2019-10-14,5476,4022,3466,556
Tuesday,3,2019-10-15,5542,4117,3572,545
Wednesday,4,2019-10-16,5340,3966,3403,563
Thursday,5,2019-10-17,5388,3905,3333,572
Friday,6,2019-10-18,4309,3097,2675,422
Saturday,7,2019-10-19,3117,2223,1897,326
Sunday,1,2019-10-20,4234,3081,2679,402
Monday,2,2019-10-21,5698,4144,3507,637
Tuesday,3,2019-10-22,5721,4132,3536,596
Wednesday,4,2019-10-23,6018,4446,3823,623
Thursday,5,2019-10-24,5563,3995,3397,598
Friday,6,2019-10-25,4159,2961,2461,500
Saturday,7,2019-10-26,2732,2057,1753,304
Sunday,1,2019-10-27,3901,2854,2460,394
Monday,2,2019-10-28,5749,4120,3529,591
Tuesday,3,2019-10-29,5821,4140,3576,564
Wednesday,4,2019-10-30,5647,4059,3452,607
Thursday,5,2019-10-31,5219,3689,3180,509
Friday,6,2019-11-01,4054,3010,2604,406
Saturday,7,2019-11-02,2815,2170,1889,281
Sunday,1,2019-11-03,4253,3063,2603,460
Monday,2,2019-11-04,5816,4184,3640,544
Tuesday,3,2019-11-05,5843,4176,3549,627
Wednesday,4,2019-11-06,6058,4351,3672,679
Thursday,5,2019-11-07,6291,4489,3810,679
Friday,6,2019-11-08,4604,3357,2839,518
Saturday,7,2019-11-09,3354,2337,2000,337
Sunday,1,2019-11-10,4190,3075,2634,441
Monday,2,2019-11-11,5931,4194,3573,621
Tuesday,3,2019-11-12,6443,4589,3877,712
Wednesday,4,2019-11-13,5805,4275,3572,703
Thursday,5,2019-11-14,5753,4172,3569,603
Friday,6,2019-11-15,4709,3452,2927,525
Saturday,7,2019-11-16,3418,2506,2136,370
Sunday,1,2019-11-17,4821,3387,2872,515
Monday,2,2019-11-18,6444,4699,3985,714
Tuesday,3,2019-11-19,6607,4772,4119,653
Wednesday,4,2019-11-20,6726,4781,4115,666
Thursday,5,2019-11-21,6334,4462,3840,622
Friday,6,2019-11-22,4575,3214,2724,490
Saturday,7,2019-11-23,3414,2474,2118,356
Sunday,1,2019-11-24,4535,3242,2787,455
Monday,2,2019-11-25,5970,4467,3836,631
Tuesday,3,2019-11-26,5630,4115,3522,593
Wednesday,4,2019-11-27,5384,3823,3225,598
Thursday,5,2019-11-28,4201,3223,2747,476
Friday,6,2019-11-29,3799,2947,2504,443
Saturday,7,2019-11-30,3301,2443,2053,390
Sunday,1,2019-12-01,4420,3308,2849,459
Monday,2,2019-12-02,6384,4674,4031,643
Tuesday,3,2019-12-03,6964,4975,4285,690
Wednesday,4,2019-12-04,6957,4959,4252,707
Thursday,5,2019-12-05,6350,4671,3989,682
Friday,6,2019-12-06,5324,3796,3258,538
Saturday,7,2019-12-07,3795,2760,2362,398
Sunday,1,2019-12-08,5013,3636,3159,477
Monday,2,2019-12-09,7005,5250,4569,681
Tuesday,3,2019-12-10,6606,4791,4131,660
Wednesday,4,2019-12-11,6686,4902,4240,662
Thursday,5,2019-12-12,6163,4533,3871,662
Friday,6,2019-12-13,4581,3272,2801,471
Saturday,7,2019-12-14,2930,2240,1958,282
Sunday,1,2019-12-15,3585,2672,2280,392
Monday,2,2019-12-16,4925,3653,3128,525
Tuesday,3,2019-12-17,4743,3441,2895,546
Wednesday,4,2019-12-18,4716,3390,2918,472
Thursday,5,2019-12-19,3793,2821,2381,440
Friday,6,2019-12-20,2688,1906,1583,323
Saturday,7,2019-12-21,1682,1177,1020,157
Sunday,1,2019-12-22,1880,1411,1190,221
Monday,2,2019-12-23,2451,1738,1442,296
Tuesday,3,2019-12-24,1644,1197,977,220
Wednesday,4,2019-12-25,1483,1027,851,176
Thursday,5,2019-12-26,1864,1355,1102,253
Friday,6,2019-12-27,1927,1319,1109,210
Saturday,7,2019-12-28,1679,1219,1019,200
Sunday,1,2019-12-29,1962,1299,1111,188
Monday,2,2019-12-30,2469,1762,1479,283
Tuesday,3,2019-12-31,1750,1192,1005,187
Wednesday,4,2020-01-01,1554,1105,870,235
Thursday,5,2020-01-02,2820,2083,1754,329
Friday,6,2020-01-03,2970,2180,1859,321
Saturday,7,2020-01-04,2111,1526,1300,226
Sunday,1,2020-01-05,2393,1788,1514,274
Monday,2,2020-01-06,3704,2770,2341,429
Tuesday,3,2020-01-07,3760,2915,2492,423
Wednesday,4,2020-01-08,3698,2844,2402,442
Thursday,5,2020-01-09,4243,3374,2910,464
Friday,6,2020-01-10,3177,2415,2043,372
Saturday,7,2020-01-11,2361,1834,1581,253
Sunday,1,2020-01-12,2762,2238,1961,277
Monday,2,2020-01-13,4298,3242,2727,515
Tuesday,3,2020-01-14,3838,2884,2450,434
Wednesday,4,2020-01-15,3754,2864,2470,394
Thursday,5,2020-01-16,3817,2951,2510,441
Friday,6,2020-01-17,3175,2419,2006,413
Saturday,7,2020-01-18,2336,1927,1681,246
Sunday,1,2020-01-19,2597,2031,1717,314
Monday,2,2020-01-20,3715,2948,2505,443
Tuesday,3,2020-01-21,4459,3501,3017,484
Wednesday,4,2020-01-22,4483,3552,3079,473
Thursday,5,2020-01-23,4225,3295,2805,490
Friday,6,2020-01-24,3111,2484,2131,353
Saturday,7,2020-01-25,2353,1784,1535,249
Sunday,1,2020-01-26,3198,2520,2213,307
Monday,2,2020-01-27,4432,3539,3058,481
Tuesday,3,2020-01-28,4664,3654,3148,506
Wednesday,4,2020-01-29,4471,3544,3025,519
Thursday,5,2020-01-30,4486,3499,3031,468
